,NLC,Station,En/Ex 2007,En/Ex 2008,En/Ex 2009,En/Ex 2010,En/Ex 2011,En/Ex 2012,En/Ex 2013,En/Ex 2014,En/Ex 2015,En/Ex 2016,En/Ex 2017,En/Ex 2018,En/Ex 2019,En/Ex 2020,En/Ex 2021,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Night Tube?
0,500,ACTON TOWN,5773625,5816798,5459521,5428316,5462387,5584934,5748994,6059017,6235045,6274649,5731527,5794685,6186555,3568528,2902697,"District, Piccadilly",London Underground,Yes,,,,Yes
1,501,BARBICAN,9558748,10030975,9261249,8873092,9228704,9850562,10464425,11444738,11283478,11973122,11303155,11160091,10467974,2537108,3467856,"Circle, Hammersmith & City, Metropolitan",London Underground,Yes,,,,No
2,502,ALDGATE,5572412,6243135,5974176,6026534,6235513,6647283,6877712,7221566,7527810,8009494,8459234,9218140,9956600,2775844,3525128,"Circle, Metropolitan",London Underground,Yes,,,,No
3,503,ALDGATE EAST,7657338,8152761,9047885,8974956,9157483,10134021,11663144,12248009,12839311,13434630,13262408,13707738,14148654,3144899,5611130,"District, Hammersmith & City",London Underground,Yes,,,,No
4,505,ALPERTON,3005522,3072270,3044399,2942987,2945259,2893236,2956888,3171235,3205455,3174845,2896391,2796159,2858439,2064990,1345253,Piccadilly,London Underground,Yes,,,,No
5,506,AMERSHAM,2341347,2171944,2088199,2109415,2099560,2097954,2041139,2439993,2287149,2360700,2215502,2130207,2350099,863361,946577,Metropolitan,London Underground,Yes,,,,No
6,507,ANGEL,16625984,17824269,18051985,17821157,17775047,18578717,18930868,19217171,19756365,20100806,18236123,17661269,17705761,5255371,7258744,Northern,London Underground,Yes,,,,No
7,508,ARCHWAY,7738419,8236818,8048465,8053512,8081810,8059174,8169486,8943726,9794439,9940993,8806365,8608964,8772643,4429802,4027456,Northern,London Underground,Yes,,,,Yes
8,509,ARNOS GROVE,4314491,4250148,4311751,4096044,4159371,4155802,4479004,4713904,4550587,4645869,4372042,4263555,4436265,2340827,1963343,Piccadilly,London Underground,Yes,,,,Yes
9,510,ARSENAL,2734787,3212954,3051762,2977319,3067815,3017544,3091593,2900614,2802635,3012524,2671088,2651488,2768340,999026,1209093,Piccadilly,London Underground,Yes,,,,Yes
