NLC,NAME,EASTING,NORTHING,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Zone,x,y,Night Tube?
500,ACTON TOWN,519478,179592,"District, Piccadilly",London Underground,Yes,,,,3,-0.28,51.50,Yes
501,BARBICAN,532004,181856,"Circle, Hammersmith & City, Metropolitan",London Underground,Yes,,,,1,-0.10,51.52,No
502,ALDGATE,533613,181262,"Circle, Metropolitan",London Underground,Yes,,,,1,-0.07,51.51,No
503,ALDGATE EAST,533936,181375,"District, Hammersmith & City",London Underground,Yes,,,,1,-0.07,51.51,No
504,STRATFORD INTERNATIONAL DLR,538128,184761,DLR,,,,,Yes,"2,3",-0.01,51.54,No
505,ALPERTON,517996,183795,Piccadilly,London Underground,Yes,,,,4,-0.30,51.54,No
506,AMERSHAM,496372,198181,Metropolitan,London Underground,Yes,,,,9,-0.61,51.67,No
507,ANGEL,531561,183100,Northern,London Underground,Yes,,,,1,-0.10,51.53,No
508,ARCHWAY,529364,186721,Northern,London Underground,Yes,,,,"2,3",-0.13,51.56,Yes
509,ARNOS GROVE,529355,192498,Piccadilly,London Underground,Yes,,,,4,-0.13,51.62,Yes
510,ARSENAL,531305,186112,Piccadilly,London Underground,Yes,,,,2,-0.11,51.56,Yes
511,BAKER STREET,527955,182064,"Bakerloo, Circle, Jubilee, Hammersmith & City, Metropolitan",London Underground,Yes,,,,1,-0.16,51.52,Yes
512,BALHAM LU,528480,173244,Northern,London Underground,Yes,,,,3,-0.15,51.44,Yes
513,BANK AND MONUMENT,532710,181120,"Central, Circle, District, DLR, Northern, Waterloo & City",London Underground,Yes,,,Yes,1,-0.09,51.51,Yes
514,BARKING,544359,184382,"District, Hammersmith & City, London Overground",London Underground,Yes,,Yes,,4,0.08,51.54,No
515,BARKINGSIDE,544799,189494,Central,London Underground,Yes,,,,4,0.09,51.59,Yes
516,BARONS COURT,524046,178328,"District, Piccadilly",London Underground,Yes,,,,2,-0.21,51.49,Yes
517,BAYSWATER,525843,180823,"Circle, District",London Underground,Yes,,,,1,-0.19,51.51,No
518,BECONTREE,547628,184527,District,London Underground,Yes,,,,5,0.13,51.54,No
519,BELSIZE PARK,527354,185089,Northern,London Underground,Yes,,,,2,-0.16,51.55,Yes
520,BETHNAL GREEN LU,535044,182718,Central,London Underground,Yes,,,,2,-0.05,51.53,Yes
521,BLACKFRIARS LU,531694,180893,"Circle, District",London Underground,Yes,,,,1,-0.10,51.51,No
522,BLACKHORSE ROAD,535761,189370,"London Overground, Victoria",London Underground,Yes,,Yes,,3,-0.04,51.59,Yes
523,KING GEORGE V,543237,180137,DLR,,,,,Yes,3,0.06,51.50,No
524,BOND STREET,528491,181118,"Central, Jubilee, TfL Rail",London Underground,Yes,Yes,,,1,-0.15,51.51,Yes
525,BOROUGH,532440,179751,Northern,London Underground,Yes,,,,1,-0.09,51.50,No
526,BOSTON MANOR,516334,178693,Piccadilly,London Underground,Yes,,,,4,-0.32,51.49,Yes
527,BOUNDS GREEN,529984,191469,Piccadilly,London Underground,Yes,,,,"3,4",-0.12,51.61,Yes
528,BOW ROAD,537090,182736,"District, Hammersmith & City",London Underground,Yes,,,,2,-0.02,51.53,No
529,BRENT CROSS,523874,187934,Northern,London Underground,Yes,,,,3,-0.21,51.58,Yes
530,BROMLEY-BY-BOW,538050,182524,"District, Hammersmith & City",London Underground,Yes,,,,"2,3",-0.01,51.52,No
531,BUCKHURST HILL,541778,193891,Central,London Underground,Yes,,,,5,0.05,51.63,Yes
532,BURNT OAK,520326,190760,Northern,London Underground,Yes,,,,4,-0.26,51.60,Yes
533,LONDON CITY AIRPORT,542250,180292,DLR,,,,,Yes,3,0.05,51.50,No
534,CALEDONIAN ROAD,530558,184970,Piccadilly,London Underground,Yes,,,,2,-0.12,51.55,Yes
535,CAMDEN TOWN,528910,183894,Northern,London Underground,Yes,,,,2,-0.14,51.54,Yes
536,CANNON STREET LU,532611,180900,"Circle, District",London Underground,Yes,,,,1,-0.09,51.51,No
537,CANONS PARK,518187,191252,Jubilee,London Underground,Yes,,,,5,-0.29,51.61,Yes
538,PONTOON DOCK,541219,180109,DLR,,,,,Yes,3,0.03,51.50,No
539,CHALFONT & LATIMER,499634,197564,Metropolitan,London Underground,Yes,,,,8,-0.56,51.67,No
540,CHALK FARM,528202,184391,Northern,London Underground,Yes,,,,2,-0.15,51.54,Yes
541,CHANCERY LANE,531124,181615,Central,London Underground,Yes,,,,1,-0.11,51.52,Yes
542,EMBANKMENT,530419,180396,"Bakerloo, Circle, District, Northern",London Underground,Yes,,,,1,-0.12,51.51,Yes
543,CHESHAM,496079,201633,Metropolitan,London Underground,Yes,,,,9,-0.61,51.70,No
544,CHIGWELL,543795,193021,Central,London Underground,Yes,,,,4,0.08,51.62,No
545,CHISWICK PARK,520293,178724,District,London Underground,Yes,,,,3,-0.27,51.49,No
546,CHORLEYWOOD,502581,196095,Metropolitan,London Underground,Yes,,,,7,-0.52,51.65,No
547,CLAPHAM COMMON,529505,175338,Northern,London Underground,Yes,,,,2,-0.14,51.46,Yes
548,CLAPHAM NORTH,530039,175743,Northern,London Underground,Yes,,,,2,-0.13,51.47,Yes
549,CLAPHAM SOUTH,528834,174323,Northern,London Underground,Yes,,,,"2,3",-0.15,51.45,Yes
550,COCKFOSTERS,528141,196370,Piccadilly,London Underground,Yes,,,,5,-0.15,51.65,Yes
551,COLINDALE,521319,189962,Northern,London Underground,Yes,,,,4,-0.25,51.59,Yes
552,COLLIERS WOOD,526788,170368,Northern,London Underground,Yes,,,,3,-0.18,51.42,Yes
553,COVENT GARDEN,530251,181025,Piccadilly,London Underground,Yes,,,,1,-0.12,51.51,Yes
554,CROXLEY,507909,195403,Metropolitan,London Underground,Yes,,,,7,-0.44,51.65,No
555,DAGENHAM EAST,550294,185030,District,London Underground,Yes,,,,5,0.17,51.54,No
556,DAGENHAM HEATHWAY,549023,184710,District,London Underground,Yes,,,,5,0.15,51.54,No
557,DEBDEN,544273,196122,Central,London Underground,Yes,,,,6,0.09,51.64,No
558,DOLLIS HILL,522190,185144,Jubilee,London Underground,Yes,,,,3,-0.24,51.55,Yes
559,WEST SILVERTOWN,540460,180156,DLR,,,,,Yes,3,0.02,51.50,No
560,EALING BROADWAY,517989,180933,"Central, District, TfL Rail",London Underground,Yes,Yes,,,3,-0.30,51.51,Yes
561,EALING COMMON,518896,180346,"District, Piccadilly",London Underground,Yes,,,,3,-0.29,51.51,No
562,EARL'S COURT,525534,178552,"District, Piccadilly",London Underground,Yes,,,,"1,2",-0.19,51.49,Yes
563,EAST ACTON,521721,181198,Central,London Underground,Yes,,,,2,-0.25,51.52,Yes
564,EASTCOTE,511153,187622,"Metropolitan, Piccadilly",London Underground,Yes,,,,5,-0.40,51.58,No
565,EAST FINCHLEY,527222,189184,Northern,London Underground,Yes,,,,3,-0.16,51.59,Yes
566,EAST HAM,542463,184275,"District, Hammersmith & City",London Underground,Yes,,,,"3,4",0.05,51.54,No
567,EAST PUTNEY,524382,174870,District,London Underground,Yes,,,,"2,3",-0.21,51.46,No
568,EDGWARE,519550,191940,Northern,London Underground,Yes,,,,5,-0.27,51.61,Yes
569,EDGWARE ROAD (DIS),527220,181697,"Circle, District, Hammersmith & City",London Underground,Yes,,,,1,-0.17,51.52,No
570,ELEPHANT & CASTLE LU,531909,179142,"Northern, Bakerloo",London Underground,Yes,,,,"1,2",-0.10,51.50,No
571,ELM PARK,552542,185716,District,London Underground,Yes,,,,6,0.20,51.55,No
572,EPPING,546209,201538,Central,London Underground,Yes,,,,6,0.12,51.69,No
573,WOOLWICH ARSENAL,543731,178811,DLR,,,,,Yes,4,0.07,51.49,No
574,EUSTON LU,529498,182668,"Northern, Victoria",London Underground,Yes,,,,1,-0.13,51.53,Yes
575,EUSTON SQUARE,529417,182393,"Circle, Hammersmith & City, Metropolitan",London Underground,Yes,,,,1,-0.13,51.53,No
576,FAIRLOP,544936,190595,Central,London Underground,Yes,,,,4,0.09,51.60,Yes
577,FARRINGDON,531560,181874,"Circle, Hammersmith & City, Metropolitan, TfL Rail",London Underground,Yes,Yes,,,1,-0.10,51.52,No
578,FINCHLEY CENTRAL,525278,190668,Northern,London Underground,Yes,,,,4,-0.19,51.60,Yes
579,FINCHLEY ROAD,526220,184716,"Metropolitan, Jubilee",London Underground,Yes,,,,2,-0.18,51.55,Yes
580,FINSBURY PARK,531330,186775,"Piccadilly, Victoria",London Underground,Yes,,,,2,-0.11,51.56,Yes
581,FULHAM BROADWAY,525455,177302,District,London Underground,Yes,,,,2,-0.19,51.48,No
582,GANTS HILL,543274,188430,Central,London Underground,Yes,,,,4,0.07,51.58,Yes
583,GLOUCESTER ROAD,526183,178846,"District, Piccadilly, Circle",London Underground,Yes,,,,1,-0.18,51.49,Yes
584,GOLDERS GREEN,525255,187480,Northern,London Underground,Yes,,,,3,-0.19,51.57,Yes
585,GOLDHAWK ROAD,523184,179608,"Circle, Hammersmith & City",London Underground,Yes,,,,2,-0.23,51.50,No
586,GOODGE STREET,529537,181837,Northern,London Underground,Yes,,,,1,-0.13,51.52,Yes
587,GRANGE HILL,544967,192559,Central,London Underground,Yes,,,,4,0.09,51.61,No
588,GREAT PORTLAND STREET,528838,182180,"Circle, Hammersmith & City, Metropolitan",London Underground,Yes,,,,1,-0.14,51.52,No
589,GREENFORD,514763,183928,Central,London Underground,Yes,,,,4,-0.34,51.54,No
590,GREEN PARK,529007,180295,"Jubilee, Piccadilly, Victoria",London Underground,Yes,,,,1,-0.14,51.51,Yes
591,GUNNERSBURY,519845,178388,"District, London Overground",London Underground,Yes,,Yes,,3,-0.27,51.49,No
592,HAINAULT,545080,191498,Central,London Underground,Yes,,,,4,0.10,51.60,Yes
593,HAMMERSMITH (DIS),523461,178503,"District, Piccadilly",London Underground,Yes,,,,2,-0.22,51.49,Yes
594,HAMPSTEAD,526373,185761,Northern,London Underground,Yes,,,,"2,3",-0.18,51.56,Yes
595,HANGER LANE,518527,182634,Central,London Underground,Yes,,,,3,-0.29,51.53,No
596,HARLESDEN,520875,183414,"Bakerloo, London Overground",London Underground,Yes,,Yes,,3,-0.26,51.54,No
597,HARROW & WEALDSTONE,515443,189446,"Bakerloo, London Overground",London Underground,Yes,,Yes,,5,-0.33,51.59,No
598,HARROW-ON-THE-HILL,515346,188038,Metropolitan,London Underground,Yes,,,,5,-0.34,51.58,No
599,WOOD LANE,523374,180519,"Circle, Hammersmith & City",London Underground,Yes,,,,2,-0.22,51.51,No
601,HENDON CENTRAL,522986,188636,Northern,London Underground,Yes,,,,"3,4",-0.22,51.58,Yes
602,HIGH BARNET,525030,196180,Northern,London Underground,Yes,,,,5,-0.19,51.65,Yes
603,HIGHBURY & ISLINGTON,531583,184874,"London Overground, Victoria",London Underground,Yes,,Yes,,2,-0.10,51.55,Yes
604,HIGHGATE,528535,188181,Northern,London Underground,Yes,,,,3,-0.14,51.58,Yes
605,HIGH STREET KENSINGTON,525578,179494,"Circle, District",London Underground,Yes,,,,1,-0.19,51.50,No
606,HILLINGDON,507602,185035,"Metropolitan, Piccadilly",London Underground,Yes,,,,6,-0.45,51.55,No
607,HOLBORN,530512,181525,"Central, Piccadilly",London Underground,Yes,,,,1,-0.12,51.52,Yes
608,HOLLAND PARK,524626,180217,Central,London Underground,Yes,,,,2,-0.20,51.51,Yes
609,HOLLOWAY ROAD,530907,185450,Piccadilly,London Underground,Yes,,,,2,-0.11,51.55,Yes
610,HORNCHURCH,553944,186240,District,London Underground,Yes,,,,6,0.22,51.55,No
611,HOUNSLOW CENTRAL,513568,175971,Piccadilly,London Underground,Yes,,,,4,-0.36,51.47,Yes
612,HOUNSLOW EAST,514255,176203,Piccadilly,London Underground,Yes,,,,4,-0.35,51.47,Yes
613,HOUNSLOW WEST,512208,176197,Piccadilly,London Underground,Yes,,,,5,-0.38,51.47,Yes
614,HYDE PARK CORNER,528213,179817,Piccadilly,London Underground,Yes,,,,1,-0.15,51.50,Yes
615,ICKENHAM,508092,185938,"Metropolitan, Piccadilly",London Underground,Yes,,,,6,-0.44,51.56,No
616,KENNINGTON,531599,178300,Northern,London Underground,Yes,,,,"1,2",-0.10,51.49,Yes
617,KENSAL GREEN,523257,182790,"Bakerloo, London Overground",London Underground,Yes,,Yes,,2,-0.22,51.53,No
618,KENSINGTON (OLYMPIA),524342,179162,"District, London Overground",London Underground,Yes,,Yes,,2,-0.21,51.50,No
619,KENTISH TOWN,529009,185127,Northern,London Underground,Yes,,,,2,-0.14,51.55,Yes
620,KENTON,516728,188314,"Bakerloo, London Overground",London Underground,Yes,,Yes,,4,-0.32,51.58,No
621,KEW GARDENS,519196,176732,"District, London Overground",London Underground,Yes,,Yes,,"3,4",-0.28,51.48,No
622,KILBURN,524583,184645,Jubilee,London Underground,Yes,,,,2,-0.20,51.55,Yes
623,KILBURN PARK,525358,183328,Bakerloo,London Underground,Yes,,,,2,-0.19,51.53,No
624,KINGSBURY,519359,188713,Jubilee,London Underground,Yes,,,,4,-0.28,51.58,Yes
625,KING'S CROSS ST. PANCRAS,530175,182875,"Circle, Hammersmith & City, Metropolitan, Northern, Piccadilly, Victoria",London Underground,Yes,,,,1,-0.12,51.53,Yes
626,KNIGHTSBRIDGE,527710,179636,Piccadilly,London Underground,Yes,,,,1,-0.16,51.50,Yes
627,LADBROKE GROVE,524235,181339,"Circle, Hammersmith & City",London Underground,Yes,,,,2,-0.21,51.52,No
628,LAMBETH NORTH,531134,179456,Bakerloo,London Underground,Yes,,,,1,-0.11,51.50,No
629,LANCASTER GATE,526711,180773,Central,London Underground,Yes,,,,1,-0.17,51.51,Yes
630,LATIMER ROAD,523763,180898,"Circle, Hammersmith & City",London Underground,Yes,,,,2,-0.22,51.51,No
631,LEICESTER SQUARE,529980,180824,"Piccadilly, Northern",London Underground,Yes,,,,1,-0.13,51.51,Yes
632,LEYTON,538367,186076,Central,London Underground,Yes,,,,3,0.00,51.56,Yes
633,LEYTONSTONE,539279,187405,Central,London Underground,Yes,,,,"3,4",0.01,51.57,Yes
634,LIVERPOOL STREET LU,533094,181567,"Central, Circle, Hammersmith & City, London Overground, Metropolitan",London Underground,Yes,,Yes,,1,-0.08,51.52,Yes
635,LONDON BRIDGE LU,532683,180189,"Northern, Jubilee",London Underground,Yes,,,,1,-0.09,51.50,Yes
636,LOUGHTON,542319,195612,Central,London Underground,Yes,,,,6,0.06,51.64,Yes
637,MAIDA VALE,525940,182762,Bakerloo,London Underground,Yes,,,,2,-0.18,51.53,No
638,MANOR HOUSE,532048,187482,Piccadilly,London Underground,Yes,,,,"2,3",-0.09,51.57,Yes
639,MANSION HOUSE,532354,180932,"Circle, District",London Underground,Yes,,,,1,-0.09,51.51,No
640,MARBLE ARCH,527960,181017,Central,London Underground,Yes,,,,1,-0.16,51.51,Yes
641,MARYLEBONE LU,527459,181957,Bakerloo,London Underground,Yes,,,,1,-0.16,51.52,No
642,MILE END,536501,182534,"District, Hammersmith & City, Central",London Underground,Yes,,,,2,-0.03,51.52,Yes
643,MILL HILL EAST,524046,191450,Northern,London Underground,Yes,,,,4,-0.21,51.61,No
645,MOORGATE,532668,181668,"Circle, Hammersmith & City, Metropolitan",London Underground,Yes,,,,1,-0.09,51.52,No
646,MOOR PARK,508606,193503,Metropolitan,London Underground,Yes,,,,"6,7",-0.43,51.63,No
647,MORDEN,525670,168602,Northern,London Underground,Yes,,,,4,-0.19,51.40,Yes
648,MORNINGTON CRESCENT,529192,183397,Northern,London Underground,Yes,,,,2,-0.14,51.53,Yes
649,NEASDEN,521342,185398,Jubilee,London Underground,Yes,,,,3,-0.25,51.55,Yes
650,NEWBURY PARK,544920,188385,Central,London Underground,Yes,,,,4,0.09,51.58,Yes
653,NORTH ACTON,520828,181957,Central,London Underground,Yes,,,,"2,3",-0.26,51.52,Yes
654,NORTH EALING,518828,181228,Piccadilly,London Underground,Yes,,,,3,-0.29,51.52,No
655,NORTHFIELDS,517197,179206,Piccadilly,London Underground,Yes,,,,3,-0.31,51.50,Yes
656,NORTH HARROW,513541,188613,Metropolitan,London Underground,Yes,,,,5,-0.36,51.58,No
657,NORTHOLT,513213,184524,Central,London Underground,Yes,,,,5,-0.37,51.55,No
659,NORTH WEMBLEY,517668,186198,"Bakerloo, London Overground",London Underground,Yes,,Yes,,4,-0.30,51.56,No
660,NORTHWICK PARK,516643,187964,Metropolitan,London Underground,Yes,,,,4,-0.32,51.58,No
661,NORTHWOOD,509230,191419,Metropolitan,London Underground,Yes,,,,6,-0.42,51.61,No
662,NORTHWOOD HILLS,510308,190238,Metropolitan,London Underground,Yes,,,,6,-0.41,51.60,No
663,NOTTING HILL GATE,525285,180456,"Central, Circle, District",London Underground,Yes,,,,"1,2",-0.19,51.51,Yes
664,OAKWOOD,529390,195935,Piccadilly,London Underground,Yes,,,,5,-0.13,51.65,Yes
665,OLD STREET,532764,182419,Northern,London Underground,Yes,,,,1,-0.09,51.52,No
667,OSTERLEY,514520,177097,Piccadilly,London Underground,Yes,,,,4,-0.35,51.48,Yes
668,OVAL,531170,177565,Northern,London Underground,Yes,,,,2,-0.11,51.48,Yes
669,OXFORD CIRCUS,529047,181236,"Bakerloo, Central, Victoria",London Underground,Yes,,,,1,-0.14,51.51,Yes
670,PADDINGTON TFL,526459,181527,"Circle, District, Hammersmith & City",London Underground,Yes,,,,1,-0.18,51.52,No
671,PARK ROYAL,519142,182236,Piccadilly,London Underground,Yes,,,,3,-0.28,51.53,No
672,PARSONS GREEN,524985,176647,District,London Underground,Yes,,,,2,-0.20,51.47,No
673,PERIVALE,516378,183315,Central,London Underground,Yes,,,,4,-0.32,51.54,No
674,PICCADILLY CIRCUS,529613,180666,"Bakerloo, Piccadilly",London Underground,Yes,,,,1,-0.13,51.51,Yes
675,PINNER,512236,189461,Metropolitan,London Underground,Yes,,,,5,-0.38,51.59,No
676,PLAISTOW,540003,183297,"District, Hammersmith & City",London Underground,Yes,,,,3,0.02,51.53,No
677,PRESTON ROAD,518249,187282,Metropolitan,London Underground,Yes,,,,4,-0.29,51.57,No
678,PUTNEY BRIDGE,524519,175887,District,London Underground,Yes,,,,2,-0.21,51.47,No
679,QUEENSBURY,518809,189763,Jubilee,London Underground,Yes,,,,4,-0.28,51.59,Yes
