period_beginning,period_ending,reporting_period,transport_mode,journey_millions
2010-04-01,2010-05-01,1,Bus,189.10
2010-05-02,2010-05-29,2,Bus,181.60
2010-05-30,2010-06-26,3,Bus,175.90
2010-06-27,2010-07-24,4,Bus,183.40
2010-07-25,2010-08-21,5,Bus,160.40
2010-08-22,2010-09-18,6,Bus,175.80
2010-09-19,2010-10-16,7,Bus,189.80
2010-10-17,2010-11-13,8,Bus,179.90
2010-11-14,2010-12-11,9,Bus,178.80
2010-12-12,2011-01-08,10,Bus,140.10
2011-01-09,2011-02-05,11,Bus,183.00
2011-02-06,2011-03-05,12,Bus,177.20
2011-03-06,2011-03-31,13,Bus,173.90
2011-04-01,2011-04-30,1,Bus,183.80
2011-05-01,2011-05-28,2,Bus,186.10
2011-05-29,2011-06-25,3,Bus,181.70
2011-06-26,2011-07-23,4,Bus,186.70
2011-07-24,2011-08-20,5,Bus,161.10
2011-08-21,2011-09-17,6,Bus,173.90
2011-09-18,2011-10-15,7,Bus,193.40
2011-10-16,2011-11-12,8,Bus,185.20
2011-11-13,2011-12-10,9,Bus,189.40
2011-12-11,2012-01-07,10,Bus,151.20
2012-01-08,2012-02-04,11,Bus,181.40
2012-02-05,2012-03-03,12,Bus,179.50
2012-03-04,2012-03-31,13,Bus,191.20
2012-04-01,2012-04-28,1,Bus,171.80
2012-04-29,2012-05-26,2,Bus,189.20
2012-05-27,2012-06-23,3,Bus,176.50
2012-06-24,2012-07-21,4,Bus,189.90
2012-07-22,2012-08-18,5,Bus,167.10
2012-08-19,2012-09-15,6,Bus,177.00
2012-09-16,2012-10-13,7,Bus,194.20
2012-10-14,2012-11-10,8,Bus,184.70
2012-11-11,2012-12-08,9,Bus,187.60
2012-12-09,2013-01-05,10,Bus,151.90
2013-01-06,2013-02-02,11,Bus,178.10
2013-02-03,2013-03-02,12,Bus,180.30
2013-03-03,2013-03-31,13,Bus,186.50
2013-04-01,2013-04-27,1,Bus,171.60
2013-04-28,2013-05-25,2,Bus,188.80
2013-05-26,2013-06-22,3,Bus,183.50
2013-06-23,2013-07-20,4,Bus,190.20
2013-07-21,2013-08-17,5,Bus,166.30
2013-08-18,2013-09-14,6,Bus,173.70
2013-09-15,2013-10-12,7,Bus,194.50
2013-10-13,2013-11-09,8,Bus,186.30
2013-11-10,2013-12-07,9,Bus,193.20
2013-12-08,2014-01-04,10,Bus,155.10
2014-01-05,2014-02-01,11,Bus,186.60
2014-02-02,2014-03-01,12,Bus,185.60
2014-03-02,2014-03-31,13,Bus,206.90
2014-04-01,2014-04-26,1,Bus,164.10
2014-04-27,2014-05-24,2,Bus,192.80
2014-05-25,2014-06-21,3,Bus,188.10
2014-06-22,2014-07-19,4,Bus,191.10
2014-07-20,2014-08-16,5,Bus,169.20
2014-08-17,2014-09-13,6,Bus,176.50
2014-09-14,2014-10-11,7,Bus,198.80
2014-10-12,2014-11-08,8,Bus,190.20
2014-11-09,2014-12-06,9,Bus,195.60
2014-12-07,2015-01-03,10,Bus,156.80
2015-01-04,2015-01-31,11,Bus,178.20
2015-02-01,2015-02-28,12,Bus,176.30
2015-03-01,2015-03-31,13,Bus,207.50
2015-04-01,2015-05-02,1,Bus,203.40
2015-05-03,2015-05-30,2,Bus,180.50
2015-05-31,2015-06-27,3,Bus,189.90
2015-06-28,2015-07-25,4,Bus,182.50
2015-07-26,2015-08-22,5,Bus,162.30
2015-08-23,2015-09-19,6,Bus,175.00
